Title,Review,Rating,Have assessablity Issue,Assessability Issue Type
Renewing glitch,"This is probably the sixth time my bubble days have RESET after an update. I have to reselect my voucher every time. I should have over 600+ days but I'm at 1 AGAIN. I'm so tired of getting to 100+ and then it resets every time. It's so frustrating. I've had the same idol's bubble for at least two years and in that two years it has reset my days counter at least six times. It really makes me want to get rid of the app but the whole point is to support the artist. It's just hard to support the artist when I'm paying all this money but can't send more than like fifteen/twenty characters after TWO YEARS. I also have JYP bubble and that has reset once because I couldn't pay on time. I don't even use or update JYP bubble yet it NEVER has problems the way LYSN does. When will this be fixed? Two years at the very least of this glitch and yet nothing has changed. I've made previous reviews about this, I'm not even the only person to have made a review about this. The app developers clearly don't care about it's consumers so long as they get their paycheck. It shows.",1,No,Non-Accessibility Issues (NO)
LYSN allows unchecked bullying & harassment,"When I originally joined the LYSN app I expected to have a good time interacting with my fav kpop group, EXO. LYSN CLAIMS that bullying and harassment of artists will not be tolerated on their app, but they are not enforcing their own policies. In the last few months since Kim Jongdae announced his engagement, antis have relentlessly spammed EXOâ€™s community board petitioning for him to leave the group. These toxic people have left violent threats for him and his family members. Yet, LYSN has allowed these people who spew their toxic words on the board to remain for months now. Star chatting with another EXO member, Kai, was recently announced and a person who has been repeatedly posting toxic posts aimed at Chen is now boasting on Twitter that theyâ€™ve been approved to be one of the people chatting with Kai. This is absolutely ridiculous. LYSN should be BANNING all of the people who are harassing artists on the app. The majority of those posting toxic content are â€˜ACEâ€™ members who have paid for extra content which means yâ€™all know their information.",1,Yes,Navigation and Interaction Problems (NAV)
Filled with toxic and abusive comments,"Even though the companyâ€™s policy states they will not tolerate offensive comments or bullyingâ€” This app is FILLED with harassment of artists, along with toxic and abusive comments. More specifically, harassment targeting EXOâ€™s Chen. In January of this year, he announced heâ€™s getting married to his girlfriend, and theyâ€™re having a baby. Most of the EXO-Ls were happy to hear the news! But, the few fans that were not happy started harassing Chen through the Lysn app. Commenting the most disrespectful things: Like how Chen should leave EXO because heâ€™s getting married, how they wonâ€™t support EXO as long as Chenâ€™s in the group, or how that he disrespected the other members of EXO and the EXO-L by getting married (um... WHAT...?), etc.. 
 And, despite all this hate, Lysn has done NOTHING to remove those comments or those hateful people from the app... 
 So, me and the rest of the (real) fans are downright confused by this, and disappointed beyond words... Please, listen. Seriously, FIX YOUR APP AND POLICIES.",1,Yes,Navigation and Interaction Problems (NAV)
Toxic communities,"At first, I was excited about downloading the app because I support several artists. But I found that one of the communities is being flooded with death threats, racism, bullying, and degrading comments not only towards the artist but to the fans who support the artist. I have personally reported these individuals multiple times, but I have seen no actions taken to prevent them from remaining in the app. The app promised that these behaviors would not be tolerated, but yet I keep seeing the same individuals continuing to leave such awful and corrupted comments. It has been months and no action has been taken to provide a healthy fan community. I had to stop opening the app because it damaged my mental and physical health. Please go through your own policies and deny these individuals from using your app. Actual fans of the artist are unable to connect and communicate because of these individuals.",1,Yes,Navigation and Interaction Problems (NAV)
Honestlyâ€¦,"I see a lot of 5 star reviews of people saying theyâ€™re only doing it bc Jisung said to â€œshow loveâ€ to the app but if Iâ€™m being honest, itâ€™s not very good for international fans. Thereâ€™s still a character limit for texts (I canâ€™t even type half a sentence before I hit the limit) and obviously the screenshot disabling function is a bit annoying. I understand that all message content from artists are paid content but I mean paying for bubble in general is already a bit ridiculous. The app basically is like free platforms like Instagram, Twitter, and Weibo just disguised as a messaging app. Not to mention some community boards are just straight up toxic and sometimes have bullying and harassment comments on there. I mean if weâ€™re gonna rate this app at least be honest about it.",1,Yes,Input and Control Issues (INPUT)
"Despicable, toxic community for artist and fans","I expected this app to be a good time for me to share with my favorite group EXO and the exols who love them. Instead, it has been used to not only demean the actual EXO members, Kim Jongdae specifically, and to ostracize those in the fandom who are not ace members (which is the majority, since we are international fans and have no need for the ace membership perks). The fact that this app has been a breeding ground for the toxic fans to discuss and carry out their harassment strategies on Kim Jongdae of EXO, even so far as defaming him in his hometown, and those in charge of the app have done nothing to assuage this behavior proves to me this app needs to be taken down. This is a manâ€™s life, the lives of his wife and child are at stake, and itâ€™s unacceptable.",1,Yes,Navigation and Interaction Problems (NAV)
You have guidelines. Please enforce them,"An artist on your platform has been receiving death threats, sexual harassment, target of false information, and even has had his personal info leaked on your platform. Last I checked, this platform has rules and guidelines, as well as the personal information of its consumers. Use it.
 Your consumers are committing a crime every day, yet you have failed to implement your own guidelines by putting them on suspension or even cancelling their account.
 If I could give this app a truthful rating it would be at a zero for itâ€™s managementâ€™s negligence in protecting their consumerâ€™s rights, as well as refusing to take action when faced with actual crimes that violate a private citizenâ€™s privacy (the artistâ€™s fiancÃ©e)",1,Yes,Navigation and Interaction Problems (NAV)
Comments - Community Guidelines,"While this is a great app for many to interact with their artists and many do use it, I am appalled by how hate comments are still allowed within the community. This should be a safe space for both artists and fans. Yet when it is brought to the forefront nothing is being handled. By doing nothing to stop this it shows me that hate speech, racism, slander, death threats and so much more are allowed within this community and I cannot nor will I stand by that. I deleted the app and will continuing giving bad ratings until something is done about this very serious issue.",1,Yes,Navigation and Interaction Problems (NAV)
Bans the word â€œgayâ€,"I learned today that this app bans the use of the word â€œgayâ€ in chats. Even if itâ€™s just the three letters g-a-y in sequence in another word. For example, I found this out when I tried to type â€œInkigayoâ€ in a message.
 
 I started looking for an explanation in the appâ€™s policies and found in the â€œyouth protection policyâ€ that certain words are banned if they are considered â€œharmful to youth.â€ I knew that Korea was homophobic, but banning both artists and fans from even saying â€œgayâ€ on the basis that itâ€™s harmful to youth? Thatâ€™s some next level trash reasoning. I donâ€™t intend to continue paying for this app.",1,Yes,Compatibility with Assistive Technologies (CAT)
Admins get paid for this?,"How is it possible to let hate and filth run rampant in the posts, which is clearly against the terms and conditions? Anyone leaving hateful comments should be kicked out and IP banned. We are constantly reporting and nothing is done. Itâ€™s really disgusting and harmful to both fans and idols who have to see this kind of harassment. Not to mention international fans donâ€™t truly have any benefit by becoming ace members, but thatâ€™s a story for another day. Iâ€™m an ace member but I donâ€™t see myself renewing if the moderators and creators of this app do not fix what has become a toxic waste hole.",1,Yes,Navigation and Interaction Problems (NAV)
